id,name,firstName,lastName,dateOfBirth,nationality,position,shirtNumber,lastUpdated
3754,Mohamed Salah,Mohamed,Salah,1992-06-15,Egypt,Offence,,2022-04-24T17:48:30Z
3343,Son Heungmin,Heungmin,Son,1992-07-08,Korea Republic,Midfield,,2021-10-13T08:04:15Z
44,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,1985-02-05,Portugal,Offence,,2021-10-13T08:04:10Z
8004,Harry Kane,Harry,,1993-07-28,England,Offence,,2020-11-26T02:25:00Z
3626,Sadio Mané,Sadio,,1992-04-10,Senegal,Offence,,2020-09-07T21:02:43Z
3330,Jamie Vardy,Jamie,,1987-01-11,England,Offence,,2020-11-26T02:14:30Z
4092,Diogo Jota,Diogo José,,1996-12-04,Portugal,Offence,,2020-09-07T21:02:52Z
3654,Kevin De Bruyne,Kevin,De Bruyne,1991-06-28,Belgium,Midfield,,2021-10-13T08:04:13Z
8162,Wilfried Zaha,Wilfried,,1992-11-10,Cote d'Ivoire,Offence,,2022-01-13T09:47:57Z
3329,Raheem Sterling,Raheem Shaquille,Sterling,1994-12-08,England,Offence,,2021-10-13T08:03:51Z
